	SPOKE	EHR
472	DB00957	185315
473	DB00957	185318
474	DB00957	185319
475	DB00957	236018
476	DB00957	228428
477	DB00957	185019
478	DB00957	185018
479	DB00957	185011
480	DB00957	185013
481	DB00957	185012
482	DB00957	185015
483	DB00957	185014
484	DB00957	185017
485	DB00957	185016
486	DB00957	37510
487	DB00957	33652
488	DB00957	10749
489	DB00957	228219
490	DB00957	33847
491	DB00957	98311
492	DB00957	33643
493	DB00957	110611
494	DB00957	38365
495	DB00957	225644
496	DB00957	185323
497	DB00957	185322
498	DB00957	185321
499	DB00957	185320
500	DB00957	185325
501	DB00957	185324
502	DB00957	37588
503	DB00957	37587
504	DB00957	26948
505	DB00957	25029
506	DB00957	225573
507	DB00957	225572
508	DB00957	235530
509	DB06414	89432
510	DB06414	89453
511	DB06414	185661
512	DB06414	203929
513	DB06414	203987
514	DB06414	185928
515	DB00956	233223
516	DB00956	36179
517	DB00956	235028
518	DB00956	12200
519	DB00956	237522
520	DB00956	32055
521	DB00956	33722
522	DB00956	38601
523	DB00956	31763
524	DB00956	82318
525	DB00956	253598
526	DB00956	103935
527	DB00956	78237
528	DB00956	233953
529	DB00956	31473
530	DB00956	29252
531	DB00956	107030
532	DB00956	39845
533	DB00956	235473
534	DB00956	95858
535	DB00956	2740
536	DB00956	2742
537	DB00956	228618
538	DB00956	174889
539	DB00956	174887
540	DB00956	237397
541	DB00956	110598
542	DB00956	220187
543	DB00956	220186
544	DB00956	220185
545	DB00956	220184
546	DB00956	220189
547	DB00956	43277
548	DB00956	246991
549	DB00956	42581
550	DB00956	246999
551	DB00956	43576
552	DB00956	174899
553	DB00956	87788
554	DB00956	42038
555	DB00956	6350
556	DB00956	14063
557	DB00956	232355
558	DB00956	40144
559	DB00956	40147
560	DB00956	40143
561	DB00956	229289
562	DB00956	239016
563	DB00956	154629
564	DB00956	154625
565	DB00956	154627
566	DB00956	154621
567	DB00956	154623
568	DB00956	255197
569	DB00956	239287
570	DB00956	106450
571	DB00956	34669
572	DB00956	34662
573	DB00956	27302
574	DB00956	239199
575	DB00956	15210
576	DB00956	162431
577	DB00956	162433
578	DB00956	162435
579	DB00956	162437
580	DB00956	887
581	DB00956	29477
582	DB00956	106791
583	DB00956	106790
584	DB00956	253175
585	DB00956	6605
586	DB00956	254621
587	DB00956	3714
588	DB00956	39557
589	DB00956	223596
590	DB00956	28184
591	DB00956	3690
592	DB00956	3691
593	DB00956	3692
594	DB00956	3693
595	DB00956	36787
596	DB00956	254474
597	DB00956	15449
598	DB00956	31542
599	DB00956	244181
600	DB00956	244183
601	DB00956	244182
602	DB00956	244185
603	DB00956	244184
604	DB00956	244187
605	DB00956	244186
606	DB00956	244189
607	DB00956	93226
608	DB00956	13723
609	DB00956	246992
610	DB00956	246994
611	DB00956	246995
612	DB00956	246996
613	DB00956	246997
614	DB00956	34710
615	DB00956	22161
616	DB00956	212624
617	DB00956	238776
618	DB00956	17306
619	DB00956	235691
620	DB00956	247009
621	DB00956	247008
622	DB00956	247005
623	DB00956	247004
624	DB00956	247007
625	DB00956	247006
626	DB00956	247001
627	DB00956	247000
628	DB00956	247003
629	DB00956	247002
630	DB00956	4581
631	DB00956	4580
632	DB00956	36065
633	DB00956	235276
634	DB00956	252716
635	DB00956	252714
636	DB00956	35145
637	DB00956	70518
638	DB00956	70514
639	DB00956	36515
640	DB00956	40996
641	DB00956	112427
642	DB00956	36552
643	DB00956	36231
644	DB00956	33451
645	DB00956	43524
646	DB00956	1805
647	DB00956	1804
648	DB00956	24591
649	DB00956	24593
650	DB00956	104116
651	DB00956	35101
652	DB00956	239517
653	DB00956	38334
654	DB00956	38332
655	DB00956	244171
656	DB00956	244172
657	DB00956	244173
658	DB00956	244174
