CUI	CODE
C0751170	D005862
C2936661	D005862
C0018779	D006315
C0854348	D062026
C0393576	D054546
C0023944	D011782
C0034372	D011782
C0751460	D011782
C0270790	D011782
C0426970	D011782
C0751461	D011782
C0001707	D000334
C0026470	D008998
C0037011	D020069
C0020578	D006985
C0005697	D001750
C0750953	D001750
C0149622	D001750
C0750955	D001750
C0392115	D001750
C0033775	D011538
C0013378	D004408
C0740425	D004408
C0023186	D007859
C0751262	D007859
C1330966	D007859
C0751265	D007859
C0751263	D007859
C0042025	D014550
C0002962	D000787
C0184567	D059787
C0260662	D006311
C0155536	D006311
C0877848	D006311
C1510450	D006311
C0012833	D004244
C0220870	D004244
C0149746	D004244
C0149793	D020757
C0752294	D020921
C0752295	D020921
C0013405	D004418
C1956415	D004418
C1956414	D004418
C0043207	D014929
C0033922	D011596
C0751456	D011596
C0679465	D011596
C0008489	D002819
C0699728	D002819
C0152113	D002819
C0238056	D002819
C0752210	D002819
C0393584	D002819
C0699731	D002819
C0037771	D020336
C0008522	D002832
C0018776	D006313
C0392704	D006313
C0034151	D011694
C0398644	D011694
C0037383	D012912
C0013080	D004314
C0432416	D004314
C0432417	D004314
C0751081	D004314
C0004093	D001247
C0948089	D054058
C0151786	D018908
C0277910	D054160
C1955868	D054160
C0232257	D054160
C0033774	D011537
C0751840	D020237
C0751830	D020233
C0751829	D020233
C0231689	D020233
C0235000	D020233
C0231693	D020233
C0427149	D020233
C0231712	D020233
C0231694	D020233
C0751831	D020233
C0231696	D020233
C0427177	D020233
C0231695	D020233
C0234996	D020233
C0231698	D020233
C0231688	D020233
C0231687	D020233
C0337210	D020233
C0231686	D020233
C0751832	D020233
C0427169	D020233
C0427128	D020233
C0917801	D007319
C0021603	D007319
C0751250	D007319
C0541798	D007319
C0751249	D007319
C0751252	D007319
C0349255	D007319
C0033139	D007319
C0270541	D007319
C0751251	D007319
C0393759	D007319
C0751992	D020567
C0206115	D017624
C0003635	D001072
C3495144	D001072
C0750927	D001072
C0234529	D001072
C0750928	D001072
C0422892	D001072
C0234526	D001072
C0234527	D001072
C0454608	D001072
C0264611	D001072
C0349391	D001072
C0020581	D006988
C0010314	D003410
C0018991	D006429
C0278110	D006429
C0154693	D006429
C0751195	D006429
C0392550	D006429
C0154694	D006429
C0521662	D006429
C0085622	D006429
C1136249	D038901
C1955870	D054221
C1848201	D054221
C1848199	D054221
C0431375	D054221
C0265219	D054221
C1843916	D054221
C0574785	D059411
C0020453	D006941
C0751215	D006941
C0751216	D006941
C0042964	D014840
C0025587	D037061
C0037763	D013035
C0235229	D013035
C0151911	D013035
C0158940	D059245
C0010200	D003371
C0013421	D004421
C0393610	D004421
C0751093	D004421
C0393588	D004421
C0013604	D004487
C0151603	D004487
C0150055	D059350
C3178789	D059350
C0020580	D006987
C0234190	D006987
C0018784	D006319
C1691779	D006319
C0242644	D018437
C0751693	D018437
C0751694	D018437
C0023380	D053609
C0011992	D003968
C0497406	D050177
C0027796	D009437
C0234247	D009437
C0423712	D009437
C0751371	D009437
C0751372	D009437
C0751373	D009437
C0423711	D009437
