CUI	Node_ID	Node_Type
C1825792	51574	Gene
C1825795	81606	Gene
C1825794	143903	Gene
C1825797	390598	Gene
C1825796	10660	Gene
C1825799	448835	Gene
C1260402	C1260402	SideEffect
C0847631	C0847631	SideEffect
C1825247	92689	Gene
C0231441	C0231441	SideEffect
C1825244	121355	Gene
C1825243	149699	Gene
C1825242	374393	Gene
C1825241	63901	Gene
C1825240	150368	Gene
C2937350	C2937350	SideEffect
C0042769	C0042769	SideEffect
C0438173	C0438173	SideEffect
C1415907	3442	Gene
C1415906	3441	Gene
C1415905	3452	Gene
C1415904	3451	Gene
C1415903	3449	Gene
C1415902	3448	Gene
C1415901	3446	Gene
C1415900	3439	Gene
C1415909	3444	Gene
C1415908	3443	Gene
C0075870	DB01606	Compound
C0494165	C0494165	SideEffect
C0948014	C0948014	SideEffect
C0035317	C0035317	SideEffect
C0035317	D012166	Symptom
C0948011	C0948011	SideEffect
C0006246	DB00835	Compound
C0264863	C0264863	SideEffect
C1424110	140690	Gene
C1417509	9961	Gene
C1417508	4598	Gene
C1417505	4595	Gene
C1417504	4594	Gene
C1417507	4597	Gene
C1417501	100129528	Gene
C1417500	4589	Gene
C1417503	4591	Gene
C1417502	53841	Gene
C0271240	C0271240	SideEffect
C1099664	DB00569	Compound
C0034194	C0034194	SideEffect
C0578736	C0578736	SideEffect
C0578735	C0578735	SideEffect
C1336648	7292	Gene
C1336642	3371	Gene
C1336643	8797	Gene
C1336640	51311	Gene
C1336641	7113	Gene
C1336646	8743	Gene
C1336647	9966	Gene
C1336644	8795	Gene
C1336645	4982	Gene
C0221706	C0221706	SideEffect
C1418858	5540	Gene
C1418859	10084	Gene
C1418856	4860	Gene
C1418856	5539	Gene
C1418854	5538	Gene
C1418855	9374	Gene
C1418852	5536	Gene
C1418853	5537	Gene
C1418850	5531	Gene
C1418851	9989	Gene
C1537938	114932	Gene
C1537931	80168	Gene
C1537930	4245	Gene
C1537930	116255	Gene
C1537933	84315	Gene
C1537932	346606	Gene
C1537935	56246	Gene
C1537934	22879	Gene
C1537937	93621	Gene
C2240229	132949	Gene
C2240228	728378	Gene
C2240224	125150	Gene
C2240227	388468	Gene
C2240226	29974	Gene
C2240221	55552	Gene
C2240220	55565	Gene
C2240223	84891	Gene
C2717911	D056865	Symptom
C0853074	C0853074	SideEffect
C0026256	DB00648	Compound
C1333699	2869	Gene
C1333696	8111	Gene
C0026259	DB01204	Compound
C1333694	2863	Gene
C1333695	84634	Gene
C1333692	2826	Gene
C1333693	2854	Gene
C1333690	51701	Gene
C1333691	2840	Gene
C1414540	2199	Gene
C1419713	6218	Gene
C1419717	6222	Gene
C0025500	C0025500	SideEffect
C0577115	C0577115	SideEffect
C0025506	DB01357	Compound
C1428014	114805	Gene
C0429059	C0429059	SideEffect
C1333713	2916	Gene
C1333711	2911	Gene
C1333710	2892	Gene
C1333717	2958	Gene
C1333716	2957	Gene
C0263105	C0263105	SideEffect
C0028902	DB01165	Compound
C1412357	242	Gene
C1539136	51185	Gene
C0235416	C0235416	SideEffect
C1537589	4034	Gene
C1367469	10855	Gene
C1367460	9113	Gene
C0246631	DB00899	Compound
C1367466	4477	Gene
C0338831	C0338831	SideEffect
C0035459	C0035459	SideEffect
C0035457	C0035457	SideEffect
C0035455	C0035455	SideEffect
C1413080	793	Gene
C1415195	2719	Gene
C1418051	56656	Gene
C1415196	2239	Gene
C1421244	7291	Gene
C1415190	8733	Gene
C0151628	C0151628	SideEffect
C1539727	81846	Gene
C1539724	148398	Gene
C1539725	401474	Gene
C1539722	54809	Gene
C1539723	140700	Gene
C1539720	29901	Gene
C1539721	55511	Gene
C0151620	C0151620	SideEffect
C0151622	C0151622	SideEffect
C0151623	C0151623	SideEffect
C0151624	C0151624	SideEffect
C0151625	C0151625	SideEffect
C0151626	C0151626	SideEffect
C1321581	C1321581	SideEffect
C0270994	C0270994	SideEffect
C0037090	D012818	Symptom
C1826405	140625	Gene
C0405479	C0405479	SideEffect
C0560046	C0560046	SideEffect
C0023610	DB00644	Compound
C1112366	C1112366	SideEffect
C1112369	C1112369	SideEffect
C1418795	5479	Gene
C1414508	9002	Gene
C1414509	2153	Gene
C1414504	2147	Gene
C1414506	2150	Gene
C1414507	2151	Gene
C1414500	2162	Gene
C0854135	C0854135	SideEffect
C1414503	2165	Gene
C1414099	146754	Gene
C1412832	53339	Gene
C1412833	686	Gene
C1412831	684	Gene
C1412835	689	Gene
C1412685	535	Gene
C0235974	C0235974	SideEffect
C0235972	C0235972	SideEffect
C1412684	9550	Gene
C3469689	400120	Gene
C0233818	C0233818	SideEffect
C0127615	DB00244	Compound
C0008947	DB01190	Compound
C1824938	57609	Gene
C0155018	C0155018	SideEffect
C0001361	C0001361	SideEffect
C0001367	DB00787	Compound
C0001364	C0001364	SideEffect
C0751674	C0751674	SideEffect
C0004623	C0004623	SideEffect
C1426839	54802	Gene
C1426838	26037	Gene
